Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
5118,Lakes & Tanks ,"Kotha Kunta, Haffezpet, Serilingampally (M)",Rangareddy ,Rangareddy-I,Warangal,09.12.2023,11.50 am,,others,domestic sewage,domestic effluents,clear,50 cm,yes,light green,septic,,26.9,3.2,7.12,522,1.8,2.31,,32,350,2,,,,18,5,82,88,20,4.2,1.12,,115,30.4,76,9.48,39,38,,320,220,16,2.26,,0.5,,1.08,,
5119,Lakes & Tanks ,"Kaidam Kunta, Hafeezpet, Serilingampally (M)",Rangareddy ,Rangareddy-I,Warangal,08.12.2023,10.00 am,,others,municipal sewage,municipal swewage,clear,Greater than 50 cm,no,green,septic,,27,0.3,7.27,1044,10,4.92,,21,540,5.5,,,,18,5,224,138,116,7,3.36,,325,84,210,27.95,0,64,,624,462,36,2.86,,0.5,,1.02,,
5120,Lakes & Tanks ,"Thammidi Kunta, Khanamet, Serilingampally",Rangareddy ,Rangareddy-I,Warangal,08.12.2023,12.10 pm,,"others,gardening",none,none,cloudy,50-100 cm,no,black,septic,,27,0.3,7.02,1478,16,11.86,,31,920,12,,,,28,5,395,137,185,11.2,3.64,,410,102,255,37.66,155,84,,932,606,22,3.28,,0.6,,1.36,,
5121,Lakes & Tanks ,"Pale Cheruvu, Kattedan",Rangareddy,Rangareddy-I,Warangal,05.12.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5122,Lakes & Tanks ,"Mulagurd Lake (PJAU), Rajenderanagar,",Same as Mulguar lake(2343)- Premajipet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5123,Lakes & Tanks ,"Pedda Cheruvu, Ibrahimbagh, Gandipet",station code : 4228 & 5123 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5124,Lakes & Tanks ,"TCS Energy Park Lake,Gachibowli(V), Serilingampally (M), Rangareddy (D)",Rangareddy,Rangareddy-I,Warangal,09.12.2023,12.10 pm,,"fishing,gardening",none,none,clear,Greater than 100cm,yes,clear,odourfree,,27.8,5.8,7.36,734,1.2,3.48,,1.8,120,Less than 1.8,,,,10,5,150,96,16,1.5,0.4,,160,38,95,15.79,65,58,,448,286,10,0.33,,0.5,,0.65,,
5125,Lakes & Tanks ,"Mondi Kunta, Khanamet, Serilingmampally",Rangareddy ,Rangareddy-I,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5126,Lakes & Tanks ,"Bathula Cheruvu, Amangal, Hayathnagar",Rangareddy,Rangareddy-I,Warangal,06.12.2023,10.10 am,,fishing,none,none,clear,Greater than 100mts,no,clear,odourless,,28,0.3,7.54,1916,12,10.28,,34,540,12,,,,24,5,450,232,124,8.4,3.86,,465,116,290,42.52,175,154,,1208,816,18,2.98,,0.6,,1.28,,
5127,Lakes & Tanks ,"Kummari Kunta, Amangal, Hayathnagar",Rangareddy,Rangareddy-I,Warangal,06.12.2023,10.25 am,,fishing,none,none,clear,Greater than 100mts,no,clear,odourless,,27,0.3,7.12,1282,12,6.84,,21,430,6.1,,,,20,5,340,142,132,7,4.12,,350,88,220,31.59,130,88,,794,516,12,2.38,,0.5,,1.09,,
5128,Lakes & Tanks ,"Palle Cheruvu, Mylardevpalli, Rajendranagar",Rangareddy,Rangareddy-I,Warangal,05.12.2023,08.10 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,brown,septic,,27,0.3,6.98,1814,12,10.86,,34,540,6,,,,14,5,470,224,127,9.8,2.86,,480,118,295,44.95,185,132,,1142,776,10,2.08,,0.5,,1.32,,
5129,Lakes & Tanks ,"Erra Kunta, Laxmiguda, Rajenderanagar",Rangareddy,Rangareddy-I,Warangal,05.12.2023,08.40 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,brown,septic,,28,0.3,7.12,2002,18,11.26,,27,540,6.1,,,,18,5,530,196,197,8.4,2.84,,545,134,335,51.03,210,124,,1262,832,15,2.62,,0.5,,1.16,,
5130,Lakes & Tanks ,"Pathikunta, Budwel, Rajendranagar",Rangareddy,Rangareddy-I,Warangal,05.12.2023,11.40 am,,others,none,none,clear,Greater than 100 cm,no,clear,odourfree,,28,2.6,7.12,1466,4.8,6.28,,17,350,4,,,,18,5,365,142,39,7,0.52,,380,92,230,36.45,150,88,,910,478,11,2.86,,0.5,,0.9,,
5131,Lakes & Tanks ,"Yellamma Cheruvu, Manikonda, Rajenderanagar",Rangareddy ,Rangareddy-I,Warangal,09.12.2023,10.40 am,,others,municipal sewage,municipal swewage,clear,Greater than 100 cm,yes,green,septic,,28,0.3,7.39,1684,10,12.84,,31,540,8.3,,,,20,5,400,184,106,8.4,2.52,,415,102,255,38.88,160,116,,1060,720,18,3.24,,0.6,,1.28,,
5132,Lakes & Tanks ,"Malkam Cheruvu, Raidurgam, Serilingampally",Rangareddy ,Rangareddy-I,"Central lab, Hyderabad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5133,Lakes & Tanks ,"Chandana Cheruvu, Jillelguda,",Rangareddy,Rangareddy-I,Warangal,06.12.2023,11.40 am,,others,none,none,clear,Greater than 100 cm,no,clear,odourless,,28,0.3,7.1,1410,12,5.86,,27,430,6.1,,,,18,5,380,154,140,7,2.96,,395,96,240,37.66,155,98,,888,604,12,2.34,,0.5,,1.09,,
5134,Lakes & Tanks ,"Manthrala Cheruvu, Meerpet",Rangareddy,Rangareddy-I,Warangal,06.12.2023,11.55 am,,others,none,none,clear,Greater than 100 cm,no,clear,odourless,,28,0.3,7.05,1580,12,6.24,,25,540,12,,,,16,5,460,174,140,8.4,2.88,,475,118,295,43.74,180,108,,994,676,14,3.16,,0.5,,1.28,,
