Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,
5056,Lakes & Tanks ,"Nayanamma Kunta, (Basupalli Cheruvu), Haffezpet, Serilingalpally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,07.120.2023,11.00 am,others,others,sewage,none,clear,Greater than 100 m,yes,brown&black,septic,,27,0.3,7.2,866,6,3.2,,22,430,1.8,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,210,,,
5057,Lakes & Tanks ,"Kudi Kunta, (Gaothami Lake), Kondapur, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,05.10.2023,01.40 pm,others,others,domestic sewage,none,sunny,none ,no,brown,septic,,29,0.3,6.98,752,10,10,,14,220,2,,,,22,5,105,147,135,15,8.9,,175,110,44,65,15.79,64,,466,,38,2.1,,0.5,,0.77,,,,,,,,,,,
5058,Lakes & Tanks ,"Regula Kunta, Miyapur, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,07.10.2023,09.00 am,bathing ghat,others,sewage,none,clear,Greater than 100 mts,no,light green,septic,,27,1.2,7.06,654,2.2,4,,17,280,3.7,,,,22,5,140,86,28,16,4.4,,220,128,51.2,92,22.36,42,,412,,24,1.48,,0.54,,0.76,,,,,,,,,,,
5059,Lakes & Tanks ,"Gopi Cheruvu, Lingampally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,05.10.2023,01.20 pm,others,others,domestic sewage,none,sunny,none ,none,light grreen,septic,,29,0.3,7.28,824,6,16,,13,350,3.6,,,,26,5,155,144,56,13,11.7,,260,175,70,85,20.66,52,,532,,33,1.74,,0.5,,0.61,,,,,,,10,235,,,
5060,Lakes & Tanks ,"Chakaalavani Cheruvu, Lingampally, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,05.10.2023,01.15 pm,others,others,sewage,none,sunny,none ,no,light brown,septic,,28,0.3,7.07,1020,10,12,,25,520,5.5,,,,18,5,215,130,119,16,5,,340,266,58,74,17.98,58,,674,,24,2.81,,0.58,,0.68,,,,,,,,,,,
5061,Lakes & Tanks ,"Peddakudi Cheruvu, Maqta Mahaboobpet,Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,07.10.2023,10.40 am,others,others,domestic sewage,none,sunny,Greater than 100 m,no,light brown,septic,,26,2.6,6.98,812,4,2.6,,17,350,1.8,,,,12.4,5,180,108,68,1.5,0.4,,195,144,57.6,51,12.39,78,,521,,16,3,,0.5,,0.88,,,,,,,,,,,
5062,Lakes & Tanks ,"Gurunath Cheruvu, Miyapur, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,07.10.2023,10.20 am,others,others,domestic sewage,none,sunny,Greater than 100 m,no,light brown,septic,,27,0.3,7.08,865,6,3.4,,23,430,1.8,,,,10.6,5,195,132,72,1.5,0.4,,205,146,58.4,59,14.34,86,,544,,17,3.2,,0.5,,0.96,,,,,,,,,,,
5063,Lakes & Tanks ,"Nanakram Kunta, Nanakraamguda,",Medchal Malkajgiri,Ranga Reddy-I,Warangal,05.10.2023,11.05 am,others,others,sewage,none,sunny,none ,none,light green,septic,,28,2,7.06,626,3.2,6,,13,220,1.8,,,,16,5,165,69,32,18,7.8,,180,85,34,95,23.09,24,,394,,21,2.44,,0.58,,1.24,,,,,,,,,,,
5111,Lakes & Tanks ,"Nagireddy Kunta (Yapral Cheruvu), Yapral",Medchal Malkajgiri,Medchal,Warangal,06.10.2023,12.10 pm,others,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,27,0.3,7.26,1409,8,7.06,,34,350,4.5,,,,22,5,365,189,104,7.84,4.06,,400,288,115.2,112,27.22,38,,878,,28,2.65,,0.5,,1.06,,,,,,,,,,,
5112,Lakes & Tanks ,"Kamuni Cheruvu, Kukatpally",Medchal Malkajgiri,Medchal,Warangal,05.10.2023,5.55 pm,others,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light black,septic,,26,0.3,7.64,1202,8,8.38,,25,430,5.6,,,,28,5,280,144,84,5.6,3.12,,298,212,84.8,86,20.9,84,,792,,22,3.23,,0.5,,1.35,,,,,,,,,,,
5113,Lakes & Tanks ,"Chinna Cheruvu, Ramanthapur Bagat, Uppal",Medchal Malkajgiri,Rangareddy-I,Warangal,06.10.2023,08.35 am,others,others,none,none,clear,Greater than 100cm,no,green,odourless,,              ,0.3,8.09,777,12,8,,46,920,3.6,,,,27,5,146,125,169,19,1.6,,215,138,55.2,77,18.71,55,,456,,28,1.84,,0.6,,0.78,,,,,,,,,,,
5114,Lakes & Tanks ,"Shanthisarovor Pond, Gachibowli, Serilingmapally",Rangareddy ,Rangareddy-I,Warangal,06.10.2023,11.00 am,others,gardening,none,none,sunny,nil,no,light green,septic,,28,4.7,7.41,596,2,6,,21,240,1.8,,,,20,5,135,68,16,16,5.6,,150,99,39.6,51,12.39,41,,376,,10,2.06,,0.5,,1.06,,,,,,,,,,,
5115,Lakes & Tanks ,"Raja Mohammad Kunta, Haffezpet, Serilingampally (M),",Rangareddy ,Rangareddy-I,Warangal,05.10.2023,11.45 am,others,others,sewage,none,rainy,Greater than 50 cm,no,light brown,septic,,25,0.3,6.82,1012,16,13,,20,350,6.1,,,,33,5,225,144,163,18,6.7,,340,244,97.6,96,23.33,61,,666,,20,2.68,,0.5,,1.04,,,,,,,10,120,389.53,1.34,
5116,Lakes & Tanks ,"Kotha Cheruvu (Novotel Lake), Khanamet, Serilingampally",Rangareddy ,Rangareddy-I,Warangal,06.10.2023,11.40 am,others,others,none,none,sunny,none ,no,light green,odourless,,27,3.2,7.42,888,4.2,12,,20,350,1.8,,,,18,5,176,115,45,19,7.2,,255,188,75.2,67,16.28,54,,566,,14,3.22,,0.61,,0.94,,,,,,,,,,,
5117,Lakes & Tanks ,"Masjid Banda Lake, Kondapur, Serlingampally",Rangareddy ,Rangareddy-I,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5118,Lakes & Tanks ,"Kotha Kunta, Haffezpet, Serilingampally (M)",Rangareddy ,Rangareddy-I,Warangal,05.10.2023,11.55 am,others,others,sewage,nil,sunny,Greater than 50 m,no,light brown,odourless,,28,0.3,6.88,622,6,9,,17,280,4,,,,24,5,122,112,66,14,7.8,,140,95,38,45,10.94,44,,380,,16,3.14,,0.5,,1.32,,,,,,,,,,,
5119,Lakes & Tanks ,"Kaidam Kunta, Hafeezpet, Serilingampally (M)",Rangareddy ,Rangareddy-I,Warangal,05.10.2023,12.15 pm,others,others,sewage,none,rainy,Greater than 50m ,YES,light brown,septic,,27,0.3,6.97,1233,12,10,,11,240,2,,,,27,5,265,167,123,13,6.1,,385,245,98,140,34.02,86,,766,,28,2.06,,0.5,,0.96,,,,,,,,,,,
5120,Lakes & Tanks ,"Thammidi Kunta, Khanamet, Serilingampally",Rangareddy ,Rangareddy-I,Warangal,06.10.2023,12.00 pm,others,others,none,none,sunny,nil,no,none ,odourless,,26,0.3,7.08,1269,8,14,,25,920,1.8,,,,12,5,290,154,96,22,3.3,,320,222,88.8,98,23.81,82,,786,,18,2.26,,0.5,,0.92,,,,,,,,,,,
5121,Lakes & Tanks ,"Pale Cheruvu, Kattedan",Rangareddy,Rangareddy-I,Warangal,05.10.2023,09.45 am,others,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,brown,septic,,29,2.4,8.4,945,3.8,3.08,,17,430,2,,,,17,20,180,136,48,4.2,0.62,,190,110,44,80,19.44,82,,586,,16,2.76,,0.5,,1.08,,,,,,,,,,,
5122,Lakes & Tanks ,"Mulagurd Lake (PJAU), Rajenderanagar,",Same as Mulguar lake(2343)- Premajipet,Ranga Reddy,Warangal,,,,,,,,,,,,,,0.3,8.12,1257,22,4.76,,27,430,4,,,,12,5,245,210,286,7,2.82,,250,166,66.4,84,20.41,125,,784,,10,2.96,,0.5,,1.42,,,,,,,,,,,
5123,Lakes & Tanks ,"Pedda Cheruvu, Ibrahimbagh, Gandipet",station code : 4228 & 5123 are same,Ranga Reddy-I,Warangal,05.10.203,10.15 am,others,others,"domestic,sewage",none,sunny,1mts,none,light green,septic,,29,0.3,6.94,980,6,8,,38,920,3.6,,,,26,5,205,122,56,20,8.4,,330,232,92.8,98,23.81,66,,612,,20,3.66,,0.5,,1.44,,,,,,,,,,,
5124,Lakes & Tanks ,"TCS Energy Park Lake,Gachibowli(V), Serilingampally (M), Rangareddy (D)",Rangareddy,Rangareddy-I,Warangal,05.10.2023,02.15 pm,others,gardening,none,none,sunny,10mts,no,clear,fishy,,29,3.8,7.67,748,1,5,,24,430,3.6,,,,16,5,155,94,8,13,7.8,,175,110,44,65,15.79,53,,456,,11,1.96,,0.5,,0.88,,,,,,,,,,,
5125,Lakes & Tanks ,"Mondi Kunta, Khanamet, Serilingmampally",no access,Rangareddy-I,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5126,Lakes & Tanks ,"Bathula Cheruvu, Amangal, Hayathnagar",Rangareddy,Rangareddy-I,Warangal,06.10.2023,10.00 am,"fishing,others",fishing,none,none,clear,Greater than 100cm,no,clear,odourless,,29,0.3,7.39,1651,6,4,,20,540,4,,,,20,5,315,243,77,9,3.3,,385,242,96.8,143,34.75,95,,1056,,20,2.36,,0.5,,1.02,,,,,,,,,,,
5127,Lakes & Tanks ,"Kummari Kunta, Amangal, Hayathnagar",Rangareddy,Rangareddy-I,Warangal,06.10.2023,10.15 AM,fishing,fishing,none,none,clear,Greater than 100cm,no,clear,odourless,,28,0.3,7.43,1473,14,13,,27,280,12,,,,33,5,325,192,211,14,2.8,,345,244,97.6,101,24.54,65,,942,,56,2.04,,0.5,,0.88,,,,,,,,,,,
5128,Lakes & Tanks ,"Palle Cheruvu, Mylardevpalli, Rajendranagar",Rangareddy,Rangareddy-I,Warangal,05.10.2023,08.00 am,others,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,brownish,septic,,29,0.3,7.39,1288,6,4,,20,540,4,,,,20,5,246,220,77,9,3.3,,385,245,98,140,34.02,95,,802,,20,2.36,,0.5,,1.02,,,,,,,,,,,
5129,Lakes & Tanks ,"Erra Kunta, Laxmiguda, Rajenderanagar",Rangareddy,Rangareddy-I,Warangal,05.10.2023,08.45 am,others,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,brown,septic,,28,2.2,8.2,1526,2.4,3.86,,32,540,6,,,,16,5,320,218,40,4.2,0.58,,335,213,85.2,122,29.65,139,,962,,11,2.09,,0.5,,1.18,,,,,,,,,,,
5130,Lakes & Tanks ,"Pathikunta, Budwel, Rajendranagar",Rangareddy,Rangareddy-I,Warangal,05.10.2023,10.55 am,others,others,none,none,clear,Greater than 100 cm,no,clear,odourless,,29,5.8,8.42,578,1,2.24,,6,240,Less than 1.8,,,,10,20,140,84,8,1.5,0.4,,160,98,39.2,62,15.07,48,,358,,10,1.04,,0.5,,0.72,,,,,,,,,,,
5131,Lakes & Tanks ,"Yellamma Cheruvu, Manikonda, Rajenderanagar",Rangareddy ,Rangareddy-I,Warangal,05.10.2023,10.45 am,others,others,sewage,nil,sunny,1mts,none,brown,septic,,29,0.3,6.87,1123,6.2,12,,26,540,2,,,,14,5,300,122,98,8.74,4.53,,325,205,82,120,29.16,55,,724,,26,3.12,,0.5,,1.66,,,,,,,,,,,
5132,Lakes & Tanks ,"Malkam Cheruvu, Raidurgam, Serilingampally",Rangareddy ,Rangareddy-I,"Central lab, Hyderabad",,,,,,,,,,,,,,3.6,7.4,851,42,9,0.99,,,,,,,88,BDL,160,100,164,2.8,Less than 5,BDL,228,140,56,88,21,57,98,460,610,76,,1.04,0.42,8,0.33,47,2.8,,,,,,,,,
5133,Lakes & Tanks ,"Chandana Cheruvu, Jillelguda,",Rangareddy,Rangareddy-I,Warangal,05.10.2023,11.15 am,others,others,none,none,clear,Greater than 100 cm,no,clear,odourless,,28,2,8.56,1648,4.2,3.56,,27,540,8,,,,10,20,290,245,52,4.2,0.68,,310,210,84,100,24.3,154,,999,,10,2.08,,0.5,,1.28,,,,,,,,,,,
5134,Lakes & Tanks ,"Manthrala Cheruvu, Meerpet",Rangareddy,Rangareddy-I,Warangal,05.10.2023,11.30 am,others,others,none,none,clear,Greater than 100 mts,no,clear,odourless,,28,3,7.35,824,2.8,4.82,,21,350,2,,,,12,5,150,108,44,2.8,0.4,,165,102,40.8,63,15.31,66,,502,,16,1.2,,0.5,,0.82,,,,,,,,,,,
